Year,Month,City_encoded,avg_PM25,avg_PM10,avg_NO2,avg_AQI,Day_lag1,Day_lag2,Day_lag3,Night_lag1,Night_lag2,avg_AQI_lag1,Day_roll3,Day_roll6,Day,Night
2015,8,1,54.053978494623664,50.24500000000001,15.44,123.53763440860214,65.0,74.0,80.0,58.0,67.0,123.53763440860214,70.0,73.5,71.0,65.0
2015,8,1,54.053978494623664,50.24500000000001,15.44,123.53763440860214,71.0,65.0,74.0,65.0,58.0,123.53763440860214,67.0,72.5,65.0,63.0
2015,8,1,54.053978494623664,50.24500000000001,15.44,123.53763440860214,65.0,71.0,65.0,63.0,65.0,123.53763440860214,67.33333333333333,70.16666666666667,66.0,62.0
2015,9,1,35.67865168539326,50.245000000000005,13.52011235955056,118.70786516853931,66.0,65.0,71.0,62.0,63.0,123.53763440860214,65.0,67.5,64.0,59.0
2015,9,1,35.67865168539326,50.245000000000005,13.52011235955056,118.70786516853931,64.0,66.0,65.0,59.0,62.0,118.70786516853931,68.66666666666667,67.83333333333333,76.0,68.0
2015,9,1,35.67865168539326,50.245000000000005,13.52011235955056,118.70786516853931,76.0,64.0,66.0,68.0,59.0,118.70786516853931,70.66666666666667,69.0,72.0,62.0
2015,9,1,35.67865168539326,50.245000000000005,13.52011235955056,118.70786516853931,72.0,76.0,64.0,62.0,68.0,118.70786516853931,76.0,70.5,80.0,76.0
2015,9,1,35.67865168539326,50.245000000000005,13.52011235955056,118.70786516853931,80.0,72.0,76.0,76.0,62.0,118.70786516853931,75.0,71.83333333333333,73.0,73.0
2015,9,1,35.67865168539326,50.245000000000005,13.52011235955056,118.70786516853931,73.0,80.0,72.0,73.0,76.0,118.70786516853931,75.66666666666667,73.16666666666667,74.0,67.0
2015,9,1,35.67865168539326,50.245000000000005,13.52011235955056,118.70786516853931,74.0,73.0,80.0,67.0,73.0,118.70786516853931,70.33333333333333,73.16666666666667,64.0,57.0
